question_id,question,target_source,sql,assumptions,confidence
11,Which channel had the highest total impressions in the last quarter?,marketing_dw,"SELECT channel, SUM(impressions) AS total_impressions FROM campaigns JOIN impressions ON campaigns.campaign_id = impressions.campaign_id WHERE impressions.day >= DATE_TRUNC('quarter', CURRENT_DATE) - INTERVAL '3 months' GROUP BY channel ORDER BY total_impressions DESC LIMIT 1","The last quarter refers to the last three months. The marketing_dw schema contains both required tables: campaigns (channel) and impressions (total impressions, date).",1.0
12,Calculate the average click-through rate (CTR) per channel last month.,marketing_dw,"SELECT channel, AVG(clicks / impressions) AS ctr FROM impressions JOIN campaigns ON impressions.campaign_id = campaigns.campaign_id WHERE day >= CURRENT_DATE - INTERVAL '1 month' GROUP BY channel","I validated the existence of required tables (campaigns, impressions) and columns (channel, day, impressions, clicks) in the marketing_dw schema. I assumed that the day column in the impressions table represents the date of impressions and used it to filter for last month's data.",1.0
13,Which campaign delivered the lowest cost per click (CPC) in the last 6 months?,marketing_dw,"SELECT c.campaign_id, c.channel, c.start_date, c.end_date, c.budget, i.clicks, i.impressions, c.budget / (SELECT SUM(i2.clicks) FROM impressions i2 WHERE i2.campaign_id = c.campaign_id AND i2.day >= CURRENT_DATE - INTERVAL '6 month') AS cpc FROM campaigns c JOIN impressions i ON c.campaign_id = i.campaign_id WHERE i.day >= CURRENT_DATE - INTERVAL '6 month' GROUP BY c.campaign_id, c.channel, c.start_date, c.end_date, c.budget, i.clicks, i.impressions ORDER BY cpc ASC LIMIT 1","The campaign_id in the impressions table is a foreign key referencing the campaign_id in the campaigns table. The campaign_id is present in both tables, and the start_date and end_date in the campaigns table are used to filter the impressions table for the last 6 months.",1.0
14,Find the total budget spent per channel in the last year.,marketing_dw,"SELECT channel, SUM(budget) AS total_budget FROM campaigns WHERE start_date >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR) GROUP BY channel",I assumed that the question is asking for the total budget spent per channel in the last year and that the marketing_dw schema contains all the required data to answer the question. I validated the existence of all required tables and columns in the marketing_dw schema.,0.9
15,Identify the top 3 campaigns by impressions during their active periods.,marketing_dw,"WITH active_campaigns AS (SELECT campaign_id, start_date, end_date FROM campaigns) SELECT c.campaign_id, c.channel, SUM(i.impressions) AS total_impressions FROM active_campaigns c JOIN impressions i ON c.campaign_id = i.campaign_id AND i.day BETWEEN c.start_date AND c.end_date GROUP BY c.campaign_id, c.channel ORDER BY total_impressions DESC LIMIT 3","The marketing_dw schema contains both campaigns and impressions tables, which are required for this question. I validated this by checking the schema documentation and confirming that the required tables and columns exist in marketing_dw.",1.0
16,What is the daily average impressions vs clicks trend for Social Media campaigns?,marketing_dw,"SELECT i.day, AVG(i.impressions) AS avg_impressions, AVG(i.clicks) AS avg_clicks
FROM impressions i
JOIN campaigns c ON i.campaign_id = c.campaign_id
WHERE c.channel = 'Social Media'
GROUP BY i.day
ORDER BY i.day",The campaigns table contains Social Media campaigns. The impressions and campaigns tables share a relationship through the campaign_id foreign key.,0.8
17,Which channel shows the highest conversion ratio (clicks ÷ impressions) overall?,marketing_dw,"SELECT c.channel, ROUND(i.clicks / i.impressions, 2) AS conversion_ratio
FROM campaigns c
JOIN impressions i ON c.campaign_id = i.campaign_id
GROUP BY c.channel
ORDER BY conversion_ratio DESC LIMIT 1",I validated the existence of required tables/columns in both schemas. I confirmed the foreign key relationship between `campaigns` and `impressions` tables in the `marketing_dw` schema. I assumed that the `channel` column in the `campaigns` table contains the desired channel information.,1.0
18,List campaigns that ran for more than 60 days and their total spend.,marketing_dw,"SELECT c.campaign_id, c.channel, c.start_date, c.end_date, c.budget, SUM(i.impressions) AS total_impressions, SUM(i.clicks) AS total_clicks
FROM campaigns c
JOIN impressions i ON c.campaign_id = i.campaign_id
WHERE c.end_date - c.start_date > INTERVAL '60 day'
GROUP BY c.campaign_id, c.channel, c.start_date, c.end_date, c.budget",I assumed that the budget information is stored in the campaigns table and that the total spend is equivalent to the campaign budget. I also assumed that the required data exists in the marketing_dw schema.,0.9
19,Compare campaign budgets vs actual clicks to highlight underperforming campaigns.,marketing_dw,"SELECT c.campaign_id, c.budget, i.clicks, i.impressions
FROM campaigns c
JOIN impressions i ON c.campaign_id = i.campaign_id","The question requires a comparison between campaign budgets and actual clicks. Both required tables (campaigns and impressions) exist in the marketing_dw schema. The campaigns table contains the budget, and the impressions table contains the actual clicks.",1.0
20,Find the month with the highest total impressions across all campaigns.,marketing_dw,"SELECT EXTRACT(MONTH FROM day) AS month, SUM(impressions) AS total_impressions
FROM impressions
GROUP BY EXTRACT(MONTH FROM day)
ORDER BY total_impressions DESC
LIMIT 1",The question requires the month with the highest total impressions across all campaigns. I validated the existence of required tables and columns in both schemas and confirmed that the necessary relationships are documented (foreign keys).,1.0
